epoch,train_loss,validation_loss
1,0.6908278377159782,0.636932909488678
2,0.6258531715558923,0.5509214997291565
3,0.5466619165047355,0.4507037103176117
4,0.4553146940210591,0.34841978549957275
5,0.364429377472919,0.27123069763183594
6,0.29396300160366556,0.22915148735046387
7,0.2589869005524594,0.20136718451976776
8,0.23470494980397433,0.1629921793937683
9,0.21960417135902074,0.12641088664531708
10,0.2027703177669774,0.1112048476934433
11,0.18517049926778545,0.11646834015846252
12,0.16466181589209516,0.12138079851865768
13,0.14795379690502,0.13496758043766022
14,0.13659712477870609,0.14379650354385376
15,0.12352819002192954,0.15915058553218842
16,0.11514362731705541,0.21149566769599915
17,0.10632547651943954,0.21578291058540344
