epoch,train_loss,validation_loss
1,0.705320784320002,0.6466777324676514
2,0.6540844207224639,0.5941356420516968
3,0.6033356179361758,0.5452612638473511
4,0.5585175348364788,0.4985756576061249
5,0.5009484923404196,0.4544348120689392
6,0.45344774619392725,0.4140470027923584
7,0.4017379576745241,0.37909483909606934
8,0.34932808383651404,0.3541409969329834
9,0.3112744891125223,0.342396080493927
10,0.2915456113607987,0.34188374876976013
11,0.26752875525018444,0.350967139005661
12,0.24199954089911088,0.36420610547065735
13,0.235386795323828,0.3806579113006592
14,0.22278548608655516,0.39939966797828674
15,0.2094211585495783,0.4205527901649475
16,0.19528788302255715,0.43966925144195557
17,0.189995218878207,0.4617219865322113
