epoch,train_loss,validation_loss
1,0.9196183531180672,1.04542875289917
2,0.8646786430607671,0.9763181209564209
3,0.7743978531464286,0.835209846496582
4,0.6410859999449356,0.674921452999115
5,0.5384245851765508,0.5849687457084656
6,0.49126532181449556,0.5400872230529785
7,0.4394668065983316,0.5146656036376953
8,0.40131657486376554,0.5094585418701172
9,0.38674787282943723,0.5159629583358765
10,0.36375594087269,0.5244235396385193
11,0.3493250810581705,0.5345320105552673
12,0.3303626931231955,0.5456664562225342
13,0.3365190412687219,0.5393727421760559
14,0.3224900888360065,0.5476948022842407
15,0.2864552010660586,0.5511749982833862
