time_hours,scenario_id,scenario_label,proteostasis_capacity_mean,proteostasis_capacity_sd,proteostasis_capacity_p05,proteostasis_capacity_p95,mitochondrial_reserve_mean,mitochondrial_reserve_sd,mitochondrial_reserve_p05,mitochondrial_reserve_p95,inflammatory_dysfunction_mean,inflammatory_dysfunction_sd,inflammatory_dysfunction_p05,inflammatory_dysfunction_p95,commitment_risk_mean,commitment_risk_sd,commitment_risk_p05,commitment_risk_p95,recovery_potential_mean,recovery_potential_sd,recovery_potential_p05,recovery_potential_p95
0.0,stress_only,Stress only,0.78,0.045,0.705975,0.854025,0.8,0.045,0.725975,0.874025,0.12,0.045,0.045975,0.194025,0.1,0.045,0.025975000000000012,0.17402499999999999,0.82,0.045,0.7459749999999999,0.894025
2.0,stress_only,Stress only,0.7523589597932034,0.04611666855381909,0.676497040022171,0.8282208795642358,0.7836382260452514,0.04598005863242514,0.708001029594912,0.8592754224955907,0.13569391873145026,0.04648754687976789,0.05922190411423209,0.21216593334866843,0.09737489469929392,0.04514437814562039,0.023112392649748376,0.17163739674883946,0.811506390456646,0.04540364794030792,0.7368173895948394,0.8861953913184525
4.0,stress_only,Stress only,0.7246538905835408,0.04723552599002088,0.6469514503299565,0.8023563308371251,0.7671455181032538,0.04697029816131545,0.6898793776278899,0.8444116585786178,0.15146083072748784,0.04797019814604812,0.07254985477723869,0.230371806677737,0.09545114337733825,0.04524381845662718,0.021025062016186535,0.16987722473848996,0.8023440759482753,0.04583814360524615,0.7269403297176453,0.8777478221789052
6.0,stress_only,Stress only,0.6968805906165738,0.0483569819135583,0.6173333553687704,0.7764278258643772,0.7505177331837777,0.04797113317197341,0.6716052191158814,0.8294302472516739,0.16730961164238095,0.049448312465846,0.08596713763606428,0.24865208564869762,0.09422911252937116,0.04530252135901371,0.0197064648937936,0.16875176016494872,0.7924893398695125,0.0463098903967391,0.7163095701668767,0.8686691095721484
8.0,stress_only,Stress only,0.6690346699917726,0.049481476238968314,0.5876376415786697,0.7504316984048756,0.7337505235443984,0.04898299755443016,0.6531734925673608,0.814327554521436,0.1832491343961156,0.05092225724343419,0.09948202123066635,0.26701624756156483,0.09370937247689404,0.04532916394630767,0.019142897785217924,0.16827584716857014,0.7819182265486179,0.04682473837233499,0.7048915319261269,0.8589449211711089
10.0,stress_only,Stress only,0.6411115499654073,0.05060947937835918,0.5578589563880064,0.7243641435428082,0.7168393360338532,0.0500063446674934,0.6345788990558265,0.7990997730118798,0.19928827283894918,0.05239240942272705,0.11310275933856317,0.2854737863393352,0.09389270073393886,0.04534198654621304,0.019305132865418406,0.16848026860245932,0.7706065326990758,0.047388006341233774,0.6926532622677462,0.8485598031304054
12.0,stress_only,Stress only,0.6131064621791806,0.05174149243748151,0.5279917071195236,0.6982212172388377,0.6997794113543744,0.05104164752360179,0.6158159011780494,0.7837429215306994,0.2154359054489299,0.053859156299148225,0.1268375933368311,0.3040342175610287,0.09478008542387648,0.045374539200189766,0.02013896843956431,0.16942120240818864,0.7585297986786654,0.04800453102748946,0.6795623451384453,0.8374972522188856
14.0,stress_only,Stress only,0.5850144478135059,0.05287804741979949,0.4980300598079357,0.671998835819076,0.6825657832418509,0.05208939899581964,0.5968787218937276,0.7682528445899742,0.23170091906333137,0.05532289634169643,0.14069475458124076,0.322707083545422,0.09637272874865661,0.04546629375507656,0.021580675521555667,0.17116478197575757,0.7456632995529924,0.04867873050072255,0.6655867878793038,0.8257398112266809
16.0,stress_only,Stress only,0.5568303566643045,0.05401970743849563,0.4679679379279792,0.6456927754006297,0.6651932775626541,0.05315011204823987,0.5777613432432995,0.7526252118820087,0.24809221264498074,0.05678404002587993,0.15468246680240827,0.3415019584875532,0.09867205051239951,0.04563557930644099,0.02360152255330407,0.17374257847149494,0.7319820359603681,0.049414672177035344,0.650694900229145,0.8132691716915913
18.0,stress_only,Stress only,0.5285488461421837,0.0551670669363649,0.4377990210318634,0.6192986712525039,0.6476565113259369,0.05422431999099294,0.5584575049407535,0.7368555177111203,0.26461870108448377,0.058243010678149125,0.16880894851892847,0.36042845365003906,0.10167969170128964,0.0458787553618716,0.026209139131010847,0.17715024427156845,0.717460724774825,0.05021613896671719,0.6348551761745752,0.8000662733750749
20.0,stress_only,Stress only,0.5001643801928302,0.056320751913582275,0.4075167432949873,0.592812017090673,0.629949891610192,0.0553125767609889,0.5389607028383653,0.7209390803820187,0.2812893190393791,0.05970024533241146,0.18308241546756224,0.379496222611196,0.10539751812175276,0.046188142842298816,0.0294180231461712,0.1813770130973343,0.7020737895639606,0.051086689893392115,0.6180361846893305,0.7861113944385907
22.0,stress_only,Stress only,0.471671228137431,0.057481420163363814,0.3771142919686975,0.5662281643061645,0.6120676144028339,0.056415457229446984,0.5192641872603936,0.7048710415452741,0.2981130248112821,0.061156195599161814,0.1975110830506609,0.3987149665719033,0.10982762409892896,0.04655868030352504,0.03323859499963028,0.18641665319822764,0.6857953508382039,0.0520297135091347,0.6002064721156772,0.7713842295607305
24.0,stress_only,Stress only,0.4430634634319128,0.05864976151558181,0.3465846057387807,0.5395423211250449,0.5940036633515352,0.0575335575371922,0.499360961202854,0.6886463655002164,0.3150988042621049,0.06261132854770529,0.2121031688011297,0.41809443972308014,0.11497233623748776,0.046987665230401744,0.037677626933476885,0.19226704554149865,0.6685992160879949,0.053048473729135716,0.5813344768035666,0.7558639553724231
26.0,stress_only,Stress only,0.4143349623437636,0.05982649808844303,0.3159203729882748,0.5127495516992524,0.5757518084260373,0.05866749545862252,0.4792437783966033,0.6722598384554714,0.33225567477047085,0.06406612760188776,0.2268668948653655,0.4376444546755762,0.1208342172468629,0.04747376467641638,0.04273987435415795,0.19892856013956783,0.6504588696052647,0.05414614846250525,0.5613884553844435,0.7395292838260858
28.0,stress_only,Stress only,0.38547940254518037,0.06101238454839247,0.2851140299630748,0.48584477512728597,0.5573056044891096,0.05981791079517282,0.4589051412310503,0.6557060677471689,0.3495926892294692,0.06552109344968299,0.24181049050474065,0.4573748879541977,0.1274160698330206,0.048016400808784984,0.048429090502569286,0.2064030491634719,0.631347462085501,0.05532586179046268,0.5403364194401898,0.7223585047308121
30.0,stress_only,Stress only,0.35649026162125264,0.06220820837846536,0.25415775883867714,0.45882276440382813,0.5386583897753194,0.06098546579902353,0.43833729853592573,0.6389794810147131,0.3671189400869252,0.06697674496691233,0.2569421946163544,0.47729568555749596,0.13472094065890763,0.04861542773978022,0.05474856202696918,0.2146933192908461,0.6112378000065766,0.056590710578990705,0.5181460811041368,0.7043295189090163
32.0,stress_only,Stress only,0.327360815491876,0.06341479015537484,0.2230434856862844,0.4316781452974676,0.5198032842762399,0.06217084562772309,0.4175322432186354,0.6220743253338443,0.38484356342939285,0.068433620155297,0.2722702582739293,0.4974168685848564,0.1427521243757631,0.04927096300696074,0.061701390229312675,0.22380285852221352,0.5901023347804051,0.05794378641125649,0.49478480613388814,0.685419863426922
34.0,stress_only,Stress only,0.2980841367460532,0.06463298383569419,0.19176287833633626,0.4044053951557702,0.5007331880306929,0.06337475883031425,0.39648170975482594,0.6049846663065599,0.4027757431111053,0.06989227709495939,0.2878029472898971,0.5177485389323135,0.1515131677275131,0.04998329703412471,0.06929064410637796,0.23373569134864824,0.5679131516733851,0.05938819365273472,0.47021957311463647,0.6656067302321337
36.0,stress_only,Stress only,0.2686530928872176,0.065863677051567,0.1603073441373899,0.37699884163704533,0.48144077931859713,0.06459793786547513,0.37517717152989055,0.5877043871073038,0.4209247149291525,0.07135329491140424,0.3035485447998925,0.5383008850584124,0.16100787373050507,0.05075284261684252,0.07751944762579913,0.244496299835211,0.5446419584914721,0.06092706436015269,0.44441693761902096,0.6448669793639233
38.0,stress_only,Stress only,0.23906034448818497,0.06710779141645884,0.1286680276081102,0.34945266136825975,0.46191851275695855,0.06584113965210797,0.35360983802924095,0.5702271874846762,0.43929977084618466,0.07281727475691849,0.31951535387105373,0.5590841878213155,0.17124030593087794,0.05158010571322064,0.08639103203262997,0.2560895798291259,0.520260074025612,0.06256357063757317,0.41734300032680416,0.6231771477244199
40.0,stress_only,Stress only,0.20929834325430685,0.06836628284154589,0.09683580797996386,0.3217608785286499,0.4421586172965107,0.06710514615273044,0.3317706518752691,0.5525465827177523,0.4579102632619737,0.07428484080623396,0.3357117001357188,0.5801088263882286,0.18221479274190097,0.05246566804078698,0.0959087688148064,0.2685208166689955,0.49473841625314174,0.06430093494132164,0.38896337827466765,0.6005134542316158
42.0,stress_only,Stress only,0.1793593299933722,0.06964014186342199,0.06480129662804303,0.2939173633587014,0.4221530941174762,0.06839076498994898,0.30965028570901015,0.5346559025259423,0.47676560933519657,0.07575664126619808,0.35214593445230075,0.6013852842180925,0.1939359318636574,0.05341017647629592,0.1060761915601506,0.28179567216716417,0.46804749029065484,0.06614243874546999,0.3592431785543567,0.576851802026953
44.0,stress_only,Stress only,0.14923533249077092,0.07093039398389248,0.03255483438726779,0.26591583059427404,0.401893714422893,0.06969883009621866,0.2872391389146133,0.5165482899311727,0.49587529535684,0.0772333493990961,0.3688264355953269,0.6229241551183531,0.20640859478748697,0.054414336520915346,0.11689701121058121,0.2959201783643927,0.44015737609369765,0.06809142990280921,0.3281469739035765,0.5521677782838188
46.0,stress_only,Stress only,0.11891816328840017,0.07223810002271093,8.648875104069753e-05,0.23774983782575965,0.38137201712790725,0.07103020239702253,0.2645273341848052,0.4982167000710093,0.5152488811766563,0.0787156645591647,0.3857616129768304,0.6447361493764823,0.21963793138764615,0.055478908277757054,0.1283751272707358,0.3109007355045565,0.4110377158985447,0.07015132897229166,0.2956387797391249,0.5264366520579645
48.0,stress_only,Stress only,0.08839941736576415,0.07356435648420291,0.0,0.20941278378227796,0.36057930644340747,0.07238577052753412,0.24150471392561385,0.4796538989612011,0.5348960046841393,0.0802043132417316,0.40295990940149085,0.6668320999667878,0.23362937460268549,0.05660470403083291,0.14051463647196533,0.32674411273340564,0.3806577014011724,0.07232563473148335,0.2616820322678823,0.4996333705344625
50.0,stress_only,Stress only,0.057670469721681,0.07491029593880749,0.0,0.18089790654101934,0.3395066493523313,0.07376645158275981,0.21816083649869145,0.4608524622059712,0.5548263863455186,0.08170005014430916,0.42042980385813006,0.6892229688329072,0.24838864520909018,0.05779258687470785,0.15331983980019576,0.3434574506179846,0.3489860606684208,0.07461792905001549,0.2262395673811453,0.4717325539556963
52.0,stress_only,Stress only,0.03069727488460652,0.06450500460444802,0.0,0.13680800745892352,0.3181448729769436,0.0751731919010958,0.194484972299641,0.4418047736542462,0.5750498337983128,0.08320365923886519,0.43817981435037956,0.711919853246246,0.2639217566897718,0.05904347005264201,0.1667952484531757,0.3610482649263679,0.31599104477620465,0.07703188126572652,0.18927360009408453,0.44270848945832475
54.0,stress_only,Stress only,0.00520807135765371,0.05412476333156243,0.0,0.0942433070380739,0.2964845618353446,0.0766069678811753,0.17046609967081125,0.42250302399987794,0.5955532809821747,0.08473213146830831,0.4561689247168076,0.7349376372475419,0.28018133829041575,0.06023114574088162,0.18110110354666548,0.379261573034166,0.2816783072821798,0.079487522024883,0.15092133355124726,0.41243528101311233
56.0,stress_only,Stress only,0.0,0.045,0.0,0.074025,0.27451647295794396,0.07806908062671379,0.14609283532699976,0.4029401105888881,0.6163362555261455,0.08628083567072534,0.4744042808478023,0.7582682302044886,0.2971515784923861,0.06131851804361381,0.19628261631064137,0.39802054067413084,0.246033271747578,0.08195481221646611,0.11121760565149125,0.38084893784366475
58.0,stress_only,Stress only,0.0,0.045,0.0,0.074025,0.2522313091298513,0.07956095857745027,0.12135353226994561,0.383109085989757,0.637286461396064,0.08780625421402358,0.49284517321399524,0.7817277495781328,0.3145889056564831,0.062367542841985195,0.21199429768141748,0.41718351363154876,0.209203950033759,0.08448989985630323,0.07021806477014017,0.3481898352973778
60.0,stress_only,Stress only,0.0,0.045,0.0,0.074025,0.2296217039786597,0.08108320081351023,0.09623983864043537,0.36300356931688404,0.6583789279202185,0.08933748051837073,0.5114187724674986,0.8053390833729384,0.3324330790231518,0.06344982084612659,0.22805812373127354,0.43680803431503,0.17121896804997977,0.08712515224188416,0.027898092612080316,0.3145398434878792
62.0,stress_only,Stress only,0.0,0.045,0.0,0.074025,0.20668070457659526,0.08263663477719088,0.07074344036811625,0.3426179687850743,0.679618228868416,0.09087495583342159,0.5301289265224376,0.8291075312143945,0.3506873399642675,0.06456581908010062,0.24447656757750197,0.456898112351033,0.1320633841489913,0.08986232057729159,0.0,0.27988690149863593
64.0,stress_only,Stress only,0.0,0.045,0.0,0.074025,0.18340125356718762,0.0842221058896361,0.04485588937873622,0.32194661775563904,0.7010089620750808,0.09241913334874315,0.5489794877163983,0.8530384364337633,0.36935503916939677,0.06571602961395503,0.2612521704544407,0.47745790788435283,0.0917220350737166,0.09270318523047,0.0,0.24421877477783974
66.0,stress_only,Stress only,0.0,0.045,0.0,0.074025,0.15977618800971044,0.08584047779391996,0.018568602038712106,0.30098377398070875,0.7225557507207281,0.09397047791665614,0.5679743145478288,0.8771371868936274,0.38843963748390054,0.06690096739556003,0.27838754611820427,0.4984917288495968,0.05176174396289173,0.0923981926302409,0.0,0.20375677083963803
68.0,stress_only,Stress only,0.0,0.045,0.0,0.074025,0.13580737986192254,0.08749866487355848,0.0,0.27974268357892623,0.7442632446193241,0.09552946587486838,0.5871172732551657,0.9014092159834826,0.40794470677101824,0.06812116864005296,0.2958853843581311,0.5200040291839054,0.02149631951466912,0.07630036455680245,0.0,0.14701041921060914
70.0,stress_only,Stress only,0.0,0.045,0.0,0.074025,0.1115504634384864,0.08922431212589314,0.0,0.2583244568855806,0.7661361215118108,0.09709658494888994,0.6064122392708868,0.9258600037527347,0.4278738436476156,0.06937699625184161,0.3137486848133362,0.541999002481895,0.00400047870668819,0.055849179414796044,0.0,0.09587237884402769
72.0,stress_only,Stress only,0.0,0.045,0.0,0.074025,0.0870838381501603,0.09091180453029515,0.0,0.23663375660249583,0.7881790872960563,0.09867233494939578,0.6258630963043003,0.9504950782878124,0.44823018511168233,0.07066797888958767,0.3319813598383106,0.5644790103850541,0.0,0.045,0.0,0.074025
