module,time_hours,scenario_id,proteostasis_capacity,mitochondrial_reserve,inflammatory_dysfunction,commitment_risk,recovery_potential
dynamic_state,0.0,stress_only,0.78,0.8,0.12,0.1,0.82
dynamic_state,2.0,stress_only,0.7504241333333334,0.7840533333333334,0.1349211111111111,0.09713277777777779,0.8108855555555555
dynamic_state,4.0,stress_only,0.7207818096074075,0.7679822743209876,0.1499240201,0.09504074470172841,0.8010704914414815
dynamic_state,6.0,stress_only,0.6910682589158622,0.751782515217846,0.165018333159634,0.09372435460056648,0.7905263469791808
dynamic_state,8.0,stress_only,0.6612784760540599,0.7354495161413889,0.18021365492541727,0.09318430252014562,0.7792243855493817
dynamic_state,10.0,stress_only,0.6314072196590523,0.7189785043291433,0.19551959280192716,0.09342152922100054,0.7671355834851925
dynamic_state,12.0,stress_only,0.6014490112495984,0.7023644732971414,0.2109457613342146,0.09443722574021467,0.7542306187045141
dynamic_state,14.0,stress_only,0.5713981341646175,0.6856021818978535,0.22650178662487602,0.09623283802031167,0.7404798590775739
dynamic_state,16.0,stress_only,0.5412486323984376,0.6686861532760328,0.24219731079814,0.09881007160791348,0.7258533505252063
dynamic_state,18.0,stress_only,0.5109943093311616,0.6516106737208756,0.2580419965122529,0.10217089642495235,0.710320804843362
dynamic_state,20.0,stress_only,0.48062872635244835,0.6343697914128723,0.274045531521485,0.10631755161527037,0.6938515872491808
dynamic_state,22.0,stress_only,0.4501452013769652,0.6169573150636904,0.29021763328911965,0.11125255046948751,0.6764147036438148
dynamic_state,24.0,stress_only,0.41953680724974174,0.5993668124473968,0.3065680536528285,0.11697868543106714,0.657978787587038
dynamic_state,26.0,stress_only,0.38879637003961315,0.5815916088212929,0.3231065835438762,0.12349903318655787,0.6385120869785217
dynamic_state,28.0,stress_only,0.3579164672189072,0.5636247852346006,0.33984305776164053,0.13081695984304142,0.6179824504405008
dynamic_state,30.0,stress_only,0.3268894257274913,0.5454591767231977,0.35678735980497606,0.13893612619586782,0.5963573133963926
dynamic_state,32.0,stress_only,0.2957073199192567,0.5270873703885666,0.37394942676199294,0.14786049308981314,0.5736036838397672
