,model,holdout_type,n,rmse,mae,r2,mean_feature_correlation
41,CausaFluxInterventionGeneralizer,unseen_perturbation,10,0.09271193722840998,0.07394555248325581,0.9133785030671797,0.928275647980199
42,CausaFluxInterventionGeneralizer,unseen_dose,70,0.10878096525222417,0.08669496701653497,0.9194580199525416,0.961072576564186
43,CausaFluxInterventionGeneralizer,unseen_combination,10,0.15075464831924396,0.11964092075630112,0.7341937509126557,0.9369339848456435
44,CausaFluxInterventionGeneralizer,unseen_sequence,75,0.11506980700335429,0.09198346508673645,0.9398422654188427,0.9742109832378226
