,model,holdout_type,n,rmse,mae,r2,mean_feature_correlation
40,CausaFluxInterventionGeneralizer,overall,165,0.11374173555894652,0.09032286245489851,0.9283800434509015,0.9638746975441913
10,CPAAdapterProxy,overall,165,0.27014314530440403,0.19459250219345012,0.595999171395521,0.7662225090862748
25,scGPTAdapterProxy,overall,165,0.2727852451011537,0.19828340452514973,0.5880579716249099,0.7631293081549405
20,TxPertAdapterProxy,overall,165,0.28444644782893097,0.20527354286014143,0.5520852326445166,0.7283756478382193
30,SequentialGComputation,overall,165,0.3167993050523604,0.23931008038298843,0.4443992899128967,0.6353270080066925
35,MarginalStructuralModel,overall,165,0.3201867188053872,0.24176200956122204,0.4324541153251794,0.6232454873165382
5,NearestNeighbor,overall,165,0.37421248153687514,0.28522922643371146,0.22476943104640015,0.4989562637059796
15,GEARSAdapterProxy,overall,165,0.3859695304745878,0.2950802973697073,0.1752916440772599,0.45670055890478095
0,AdditiveBaseline,overall,165,0.43002293473917275,0.3336532284977278,-0.023711516857815106,0.2249617018300805
