,time_hours,scenario_id,scenario_label,proteostasis_capacity_mean,proteostasis_capacity_sd,proteostasis_capacity_p05,proteostasis_capacity_p95,mitochondrial_reserve_mean,mitochondrial_reserve_sd,mitochondrial_reserve_p05,mitochondrial_reserve_p95,inflammatory_dysfunction_mean,inflammatory_dysfunction_sd,inflammatory_dysfunction_p05,inflammatory_dysfunction_p95,commitment_risk_mean,commitment_risk_sd,commitment_risk_p05,commitment_risk_p95,recovery_potential_mean,recovery_potential_sd,recovery_potential_p05,recovery_potential_p95
0,0.0,stress_only,Stress only,0.78,0.045,0.705975,0.854025,0.8,0.045,0.725975,0.874025,0.12,0.045,0.045975,0.194025,0.1,0.045,0.025975,0.1740249999999999,0.82,0.045,0.7459749999999999,0.894025
1,2.0,stress_only,Stress only,0.7523589597932034,0.046116668553819,0.676497040022171,0.8282208795642358,0.7836382260452514,0.0459800586324251,0.708001029594912,0.8592754224955907,0.1356939187314502,0.0464875468797678,0.059221904114232,0.2121659333486684,0.0973748946992939,0.0451443781456203,0.0231123926497483,0.1716373967488394,0.811506390456646,0.0454036479403079,0.7368173895948394,0.8861953913184525
2,4.0,stress_only,Stress only,0.7246538905835408,0.0472355259900208,0.6469514503299565,0.8023563308371251,0.7671455181032538,0.0469702981613154,0.6898793776278899,0.8444116585786178,0.1514608307274878,0.0479701981460481,0.0725498547772386,0.230371806677737,0.0954511433773382,0.0452438184566271,0.0210250620161865,0.1698772247384899,0.8023440759482753,0.0458381436052461,0.7269403297176453,0.8777478221789052
3,6.0,stress_only,Stress only,0.6968805906165738,0.0483569819135583,0.6173333553687704,0.7764278258643772,0.7505177331837777,0.0479711331719734,0.6716052191158814,0.8294302472516739,0.1673096116423809,0.049448312465846,0.0859671376360642,0.2486520856486976,0.0942291125293711,0.0453025213590137,0.0197064648937936,0.1687517601649487,0.7924893398695125,0.0463098903967391,0.7163095701668767,0.8686691095721484
4,8.0,stress_only,Stress only,0.6690346699917726,0.0494814762389683,0.5876376415786697,0.7504316984048756,0.7337505235443984,0.0489829975544301,0.6531734925673608,0.814327554521436,0.1832491343961156,0.0509222572434341,0.0994820212306663,0.2670162475615648,0.093709372476894,0.0453291639463076,0.0191428977852179,0.1682758471685701,0.7819182265486179,0.0468247383723349,0.7048915319261269,0.8589449211711089
5,10.0,stress_only,Stress only,0.6411115499654073,0.0506094793783591,0.5578589563880064,0.7243641435428082,0.7168393360338532,0.0500063446674934,0.6345788990558265,0.7990997730118798,0.1992882728389491,0.052392409422727,0.1131027593385631,0.2854737863393352,0.0938927007339388,0.045341986546213,0.0193051328654184,0.1684802686024593,0.7706065326990758,0.0473880063412337,0.6926532622677462,0.8485598031304054
6,12.0,stress_only,Stress only,0.6131064621791806,0.0517414924374815,0.5279917071195236,0.6982212172388377,0.6997794113543744,0.0510416475236017,0.6158159011780494,0.7837429215306994,0.2154359054489299,0.0538591562991482,0.1268375933368311,0.3040342175610287,0.0947800854238764,0.0453745392001897,0.0201389684395643,0.1694212024081886,0.7585297986786654,0.0480045310274894,0.6795623451384453,0.8374972522188856
7,14.0,stress_only,Stress only,0.5850144478135059,0.0528780474197994,0.4980300598079357,0.671998835819076,0.6825657832418509,0.0520893989958196,0.5968787218937276,0.7682528445899742,0.2317009190633313,0.0553228963416964,0.1406947545812407,0.322707083545422,0.0963727287486566,0.0454662937550765,0.0215806755215556,0.1711647819757575,0.7456632995529924,0.0486787305007225,0.6655867878793038,0.8257398112266809
8,16.0,stress_only,Stress only,0.5568303566643045,0.0540197074384956,0.4679679379279792,0.6456927754006297,0.6651932775626541,0.0531501120482398,0.5777613432432995,0.7526252118820087,0.2480922126449807,0.0567840400258799,0.1546824668024082,0.3415019584875532,0.0986720505123995,0.0456355793064409,0.023601522553304,0.1737425784714949,0.7319820359603681,0.0494146721770353,0.650694900229145,0.8132691716915913
9,18.0,stress_only,Stress only,0.5285488461421837,0.0551670669363649,0.4377990210318634,0.6192986712525039,0.6476565113259369,0.0542243199909929,0.5584575049407535,0.7368555177111203,0.2646187010844837,0.0582430106781491,0.1688089485189284,0.360428453650039,0.1016796917012896,0.0458787553618716,0.0262091391310108,0.1771502442715684,0.717460724774825,0.0502161389667171,0.6348551761745752,0.8000662733750749
10,20.0,stress_only,Stress only,0.5001643801928302,0.0563207519135822,0.4075167432949873,0.592812017090673,0.629949891610192,0.0553125767609889,0.5389607028383653,0.7209390803820187,0.2812893190393791,0.0597002453324114,0.1830824154675622,0.379496222611196,0.1053975181217527,0.0461881428422988,0.0294180231461712,0.1813770130973343,0.7020737895639606,0.0510866898933921,0.6180361846893305,0.7861113944385907
11,22.0,stress_only,Stress only,0.471671228137431,0.0574814201633638,0.3771142919686975,0.5662281643061645,0.6120676144028339,0.0564154572294469,0.5192641872603936,0.7048710415452741,0.2981130248112821,0.0611561955991618,0.1975110830506609,0.3987149665719033,0.1098276240989289,0.046558680303525,0.0332385949996302,0.1864166531982276,0.6857953508382039,0.0520297135091347,0.6002064721156772,0.7713842295607305
12,24.0,stress_only,Stress only,0.4430634634319128,0.0586497615155818,0.3465846057387807,0.5395423211250449,0.5940036633515352,0.0575335575371922,0.499360961202854,0.6886463655002164,0.3150988042621049,0.0626113285477052,0.2121031688011297,0.4180944397230801,0.1149723362374877,0.0469876652304017,0.0376776269334768,0.1922670455414986,0.6685992160879949,0.0530484737291357,0.5813344768035666,0.7558639553724231
13,26.0,stress_only,Stress only,0.4143349623437636,0.059826498088443,0.3159203729882748,0.5127495516992524,0.5757518084260373,0.0586674954586225,0.4792437783966033,0.6722598384554714,0.3322556747704708,0.0640661276018877,0.2268668948653655,0.4376444546755762,0.1208342172468629,0.0474737646764163,0.0427398743541579,0.1989285601395678,0.6504588696052647,0.0541461484625052,0.5613884553844435,0.7395292838260858
14,28.0,stress_only,Stress only,0.3854794025451803,0.0610123845483924,0.2851140299630748,0.4858447751272859,0.5573056044891096,0.0598179107951728,0.4589051412310503,0.6557060677471689,0.3495926892294692,0.0655210934496829,0.2418104905047406,0.4573748879541977,0.1274160698330206,0.0480164008087849,0.0484290905025692,0.2064030491634719,0.631347462085501,0.0553258617904626,0.5403364194401898,0.7223585047308121
15,30.0,stress_only,Stress only,0.3564902616212526,0.0622082083784653,0.2541577588386771,0.4588227644038281,0.5386583897753194,0.0609854657990235,0.4383372985359257,0.6389794810147131,0.3671189400869252,0.0669767449669123,0.2569421946163544,0.4772956855574959,0.1347209406589076,0.0486154277397802,0.0547485620269691,0.2146933192908461,0.6112378000065766,0.0565907105789907,0.5181460811041368,0.7043295189090163
16,32.0,stress_only,Stress only,0.327360815491876,0.0634147901553748,0.2230434856862844,0.4316781452974676,0.5198032842762399,0.062170845627723,0.4175322432186354,0.6220743253338443,0.3848435634293928,0.068433620155297,0.2722702582739293,0.4974168685848564,0.1427521243757631,0.0492709630069607,0.0617013902293126,0.2238028585222135,0.5901023347804051,0.0579437864112564,0.4947848061338881,0.685419863426922
17,34.0,stress_only,Stress only,0.2980841367460532,0.0646329838356941,0.1917628783363362,0.4044053951557702,0.5007331880306929,0.0633747588303142,0.3964817097548259,0.6049846663065599,0.4027757431111053,0.0698922770949593,0.2878029472898971,0.5177485389323135,0.1515131677275131,0.0499832970341247,0.0692906441063779,0.2337356913486482,0.5679131516733851,0.0593881936527347,0.4702195731146364,0.6656067302321337
18,36.0,stress_only,Stress only,0.2686530928872176,0.065863677051567,0.1603073441373899,0.3769988416370453,0.4814407793185971,0.0645979378654751,0.3751771715298905,0.5877043871073038,0.4209247149291525,0.0713532949114042,0.3035485447998925,0.5383008850584124,0.161007873730505,0.0507528426168425,0.0775194476257991,0.244496299835211,0.5446419584914721,0.0609270643601526,0.4444169376190209,0.6448669793639233
19,38.0,stress_only,Stress only,0.2390603444881849,0.0671077914164588,0.1286680276081102,0.3494526613682597,0.4619185127569585,0.0658411396521079,0.3536098380292409,0.5702271874846762,0.4392997708461846,0.0728172747569184,0.3195153538710537,0.5590841878213155,0.1712403059308779,0.0515801057132206,0.0863910320326299,0.2560895798291259,0.520260074025612,0.0625635706375731,0.4173430003268041,0.6231771477244199
20,40.0,stress_only,Stress only,0.2092983432543068,0.0683662828415458,0.0968358079799638,0.3217608785286499,0.4421586172965107,0.0671051461527304,0.3317706518752691,0.5525465827177523,0.4579102632619737,0.0742848408062339,0.3357117001357188,0.5801088263882286,0.1822147927419009,0.0524656680407869,0.0959087688148064,0.2685208166689955,0.4947384162531417,0.0643009349413216,0.3889633782746676,0.6005134542316158
