,time_hours,scenario_id,scenario_label,proteostasis_capacity_mean,proteostasis_capacity_sd,proteostasis_capacity_p05,proteostasis_capacity_p95,mitochondrial_reserve_mean,mitochondrial_reserve_sd,mitochondrial_reserve_p05,mitochondrial_reserve_p95,inflammatory_dysfunction_mean,inflammatory_dysfunction_sd,inflammatory_dysfunction_p05,inflammatory_dysfunction_p95,commitment_risk_mean,commitment_risk_sd,commitment_risk_p05,commitment_risk_p95,recovery_potential_mean,recovery_potential_sd,recovery_potential_p05,recovery_potential_p95
185,0.0,combo_recovery,Combination recovery program,0.78,0.045,0.705975,0.854025,0.8,0.045,0.725975,0.874025,0.12,0.045,0.045975,0.194025,0.1,0.045,0.025975,0.1740249999999999,0.82,0.045,0.7459749999999999,0.894025
186,2.0,combo_recovery,Combination recovery program,0.7523589597932034,0.046116668553819,0.676497040022171,0.8282208795642358,0.7836382260452514,0.0459800586324251,0.708001029594912,0.8592754224955907,0.1356939187314502,0.0464875468797678,0.059221904114232,0.2121659333486684,0.0973748946992939,0.0451443781456203,0.0231123926497483,0.1716373967488394,0.811506390456646,0.0454036479403079,0.7368173895948394,0.8861953913184525
187,4.0,combo_recovery,Combination recovery program,0.7246538905835408,0.0472355259900208,0.6469514503299565,0.8023563308371251,0.7671455181032538,0.0469702981613154,0.6898793776278899,0.8444116585786178,0.1514608307274878,0.0479701981460481,0.0725498547772386,0.230371806677737,0.0954511433773382,0.0452438184566271,0.0210250620161865,0.1698772247384899,0.8023440759482753,0.0458381436052461,0.7269403297176453,0.8777478221789052
188,6.0,combo_recovery,Combination recovery program,0.6968805906165738,0.0483569819135583,0.6173333553687704,0.7764278258643772,0.7505177331837777,0.0479711331719734,0.6716052191158814,0.8294302472516739,0.1673096116423809,0.049448312465846,0.0859671376360642,0.2486520856486976,0.0942291125293711,0.0453025213590137,0.0197064648937936,0.1687517601649487,0.7924893398695125,0.0463098903967391,0.7163095701668767,0.8686691095721484
189,8.0,combo_recovery,Combination recovery program,0.6690346699917726,0.0494814762389683,0.5876376415786697,0.7504316984048756,0.7337505235443984,0.0489829975544301,0.6531734925673608,0.814327554521436,0.1832491343961156,0.0509222572434341,0.0994820212306663,0.2670162475615648,0.093709372476894,0.0453291639463076,0.0191428977852179,0.1682758471685701,0.7819182265486179,0.0468247383723349,0.7048915319261269,0.8589449211711089
190,10.0,combo_recovery,Combination recovery program,0.6614572511755962,0.0502325602926546,0.5788246894941792,0.7440898128570131,0.7304926403291555,0.0498812055154098,0.6484380572563063,0.8125472234020047,0.1849435954407549,0.0520730968182807,0.0992833511746831,0.2706038397068267,0.0938927007339388,0.045341986546213,0.0193051328654184,0.1684802686024593,0.7857589468004306,0.0467374178023662,0.7088758945155381,0.862641999085323
191,12.0,combo_recovery,Combination recovery program,0.6539172625894543,0.0513002660107326,0.5695283250017991,0.7383062001771095,0.7272542069084744,0.0511015016174852,0.6431922367477112,0.8113161770692376,0.1866788291728916,0.0532863147903951,0.0990228413426916,0.2743348170030915,0.0942202145800075,0.0453971324390474,0.0195419317177743,0.1688984974422406,0.7894451509346696,0.0467984979922011,0.7124616217374988,0.8664286801318404
192,14.0,combo_recovery,Combination recovery program,0.6464133691315095,0.0525526854379488,0.5599642015860835,0.7328625366769355,0.7240338715860712,0.0524903575080275,0.6376872334853658,0.8103805096867767,0.1884562719263327,0.0545397375913524,0.0987384035885579,0.2781741402641075,0.094691293752978,0.0455141313177394,0.0198205477352966,0.1695620397706594,0.7929720069504689,0.0470169562429025,0.7156291139308942,0.8703148999700435
193,16.0,combo_recovery,Combination recovery program,0.6389442017691846,0.05391363242709,0.5502562764266216,0.7276321271117477,0.7208302460112803,0.053972087812905,0.6320461615590516,0.8096143304635091,0.1902773549606891,0.0558211094346537,0.0984516299406837,0.2821030799806945,0.0953053675922733,0.0456966565187859,0.0201343676188704,0.1704763675656761,0.7963346597919873,0.0473738179100393,0.7184047293299725,0.874264590254002
194,18.0,combo_recovery,Combination recovery program,0.6315083575640577,0.0553417886405043,0.5404711152504281,0.7225455998776872,0.7176419052190685,0.055509717690473,0.6263284196182403,0.8089553908198966,0.1921435053002861,0.0571233648817784,0.0981755700697606,0.2861114405308116,0.0960619155378736,0.0459402555202409,0.0204901952070773,0.1716336358686699,0.7995282294448716,0.0478422898616661,0.7208276626224308,0.8782287962673123
195,20.0,combo_recovery,Combination recovery program,0.6241043996793789,0.0568143250742177,0.5306448349322908,0.7175639644264671,0.7144673876510982,0.0570841475785377,0.6205639648844036,0.8083708104177928,0.19405614657615,0.0584423012095149,0.097918561086498,0.290193732065802,0.0969604676379235,0.0462405009677706,0.0208948435459408,0.1730260917299062,0.802547808999917,0.0484017605698062,0.7229269128625857,0.8821687051372482
196,22.0,combo_recovery,Combination recovery program,0.6167308573700668,0.0583181157913328,0.5207975568933242,0.7126641578468095,0.7113051951576883,0.058684896037835,0.6147685411754495,0.8078418491399271,0.1960166998712693,0.0597753784438155,0.0976862023311927,0.2943471974113459,0.0980006050653254,0.0465946309950732,0.0213524370784299,0.1746487730522208,0.8053884626834121,0.0490398353872413,0.7247179334714001,0.8860589918954241
197,24.0,combo_recovery,Combination recovery program,0.6093862259550198,0.0598453121844275,0.5109406874116365,0.7078317644984031,0.7081537929805107,0.060305923011329,0.6089505496268746,0.8073570363341469,0.1980265845693355,0.061121068852455,0.0974824263070469,0.2985707428316241,0.0991819606437195,0.0470011003533123,0.0218651505625207,0.1764987707249183,0.8080452238536333,0.0497500782930025,0.7262063450616442,0.8898841026456225
198,26.0,combo_recovery,Combination recovery program,0.602068966771587,0.0613910738764957,0.5010806502447516,0.7030572832984225,0.7050116097158617,0.0619436317884161,0.6031143354239171,0.8069088840078064,0.2000872192071727,0.0624784871694817,0.0973101078133752,0.3028643306009702,0.1005042193832511,0.0474590692372655,0.0224340504879492,0.178574388278553,0.8105130929629335,0.0505297203037247,0.7273917030633064,0.8936344828625606
199,28.0,combo_recovery,Combination recovery program,0.5947775071120339,0.0629523574499987,0.491220879106786,0.6983341351172818,0.701877037258341,0.0635958505219436,0.5972618631497437,0.8064922113669384,0.2022000223310693,0.0638471712336062,0.097171425651787,0.3072286190103515,0.1019671190265322,0.0479680956675914,0.0230596016533442,0.1808746363997202,0.8127870354848545,0.051378144958542,0.7282699870280529,0.8973040839416562
