,rank,scenario_id,scenario_label,cost,final_recovery_potential,final_proteostasis_capacity,final_mitochondrial_reserve,final_inflammatory_dysfunction,final_commitment_risk,mean_predictive_uncertainty,biological_utility,calibrated_utility,utility_per_cost
0,1,combo_recovery,Combination recovery program,0.98,0.8029705053451259,0.4372691195410733,0.6311131706759885,0.2648093377188526,0.1699087525296651,0.0930667113568271,0.3652231760352345,0.3447484995367325,0.3517841832007475
1,2,pulsed_stress,Pulsed stress with recovery intervals,0.35,0.5992056065224473,0.32732777185479,0.5284941855357754,0.3515832365134634,0.0149903649428048,0.0626961351712151,0.2709546501632306,0.2571615004255633,0.7347471440730382
2,3,ire1_timed,Timed IRE1/XBP1 support,0.65,0.3417036512257253,0.2697627860844162,0.1573669750686095,0.4150997398274664,0.3012811815860207,0.0932807047018583,0.0638449771988396,0.0433232221644307,0.0666511110222011
3,4,mito_support,Mitochondrial reserve support,0.6,0.2121354718976975,0.0,0.7701685233194024,0.7730851764661949,0.344253912174415,0.0885332358825601,-0.0142863040018879,-0.0337636158960511,-0.0562726931600852
4,5,atf6_support,ATF6 adaptive support,0.54,0.2616410128866183,0.2067905476031717,0.1225829483287469,0.7306735809962822,0.347189039593226,0.0831088219240457,-0.0437296351982012,-0.0620135760214912,-0.1148399555953542
5,6,perk_relief,PERK/ATF4 relief,0.58,0.131694053898258,0.0,0.1349704408458354,0.4958937363920282,0.2297908824625628,0.0851039851128377,-0.0623555737007504,-0.0810784504255747,-0.1397904317682323
6,7,stress_only,Stress only,0.25,0.0,0.0,0.0870838381501603,0.7881790872960563,0.4482301851116823,0.0700504236738557,-0.2013973279901368,-0.2168084211983851,-0.8672336847935406
